coverage,risk,threshold
0.00030627871362940275,0.0,0.0230683993149995
0.0006125574272588055,0.0,0.03999194117054498
0.0009188361408882082,0.0,0.040193411906920516
0.001225114854517611,0.0,0.04381988516168026
0.0015313935681470138,0.0,0.04452503273899466
0.0018376722817764165,0.0,0.04694268157550116
0.0021439509954058193,0.0,0.04825224136194218
0.002450229709035222,0.0,0.04936033041200766
0.0027565084226646246,0.0,0.04956180114838319
0.0030627871362940277,0.0,0.049864007252946506
0.0033690658499234303,0.0,0.051072831671199755
0.003675344563552833,0.0,0.051072831671199755
0.003981623277182236,0.0,0.056814747657902696
0.004287901990811639,0.0,0.05802357207615594
0.004594180704441042,0.0,0.05842651354890702
0.004900459418070444,0.0,0.06205298680366677
0.005206738131699847,0.0,0.06547798932205097
0.005513016845329249,0.0,0.06779490279036969
0.005819295558958652,0.05263157894736842,0.06819784426312078
0.006125574272588055,0.05,0.06950740404956181
0.006431852986217458,0.047619047619047616,0.06980961015412512
0.006738131699846861,0.045454545454545456,0.07001108089050066
0.007044410413476264,0.043478260869565216,0.07081696383600282
0.007350689127105666,0.08333333333333333,0.07242872972700716
0.007656967840735069,0.12,0.07383902488163595
0.007963246554364471,0.15384615384615385,0.07434270172257479
0.008269525267993875,0.14814814814814814,0.0743427017225748
0.008575803981623277,0.14285714285714285,0.07474564319532588
0.00888208269525268,0.13793103448275862,0.07686108592726906
0.009188361408882083,0.13333333333333333,0.077767704240959
0.009494640122511486,0.16129032258064516,0.07867432255464894
0.009800918836140888,0.15625,0.0791779993955878
0.01010719754977029,0.15151515151515152,0.0791779993955878
0.010413476263399694,0.14705882352941177,0.07927873476377556
0.010719754977029096,0.14285714285714285,0.07958094086833888
0.011026033690658498,0.1388888888888889,0.07988314697290218
0.011332312404287902,0.13513513513513514,0.07998388234108995
0.011638591117917305,0.15789473684210525,0.08068902991840436
0.011944869831546707,0.15384615384615385,0.08209932507303315
0.01225114854517611,0.15,0.08350962022766194
0.012557427258805513,0.14634146341463414,0.08491991538229071
0.012863705972434915,0.14285714285714285,0.08643094590510729
0.013169984686064319,0.13953488372093023,0.08653168127329507
0.013476263399693721,0.13636363636363635,0.08673315200967059
0.013782542113323124,0.13333333333333333,0.08683388737785837
0.014088820826952527,0.13043478260869565,0.08693462274604613
0.01439509954058193,0.1276595744680851,0.08753903495517275
0.014701378254211332,0.125,0.0877405056915483
0.015007656967840736,0.12244897959183673,0.08804271179611162
0.015313935681470138,0.12,0.0891508008461771
0.01562021439509954,0.13725490196078433,0.0898559484234915
0.015926493108728942,0.1346153846153846,0.09066183136899365
0.016232771822358345,0.1320754716981132,0.09086330210536919
0.01653905053598775,0.12962962962962962,0.09166918505087136
0.016845329249617153,0.12727272727272726,0.09176992041905913
0.017151607963246555,0.125,0.09197139115543466
0.017457886676875957,0.12280701754385964,0.09338168631006345
0.01776416539050536,0.1206896551724138,0.09398609851919008
0.01807044410413476,0.11864406779661017,0.09448977536012894
0.018376722817764167,0.11666666666666667,0.09479198146469225
0.01868300153139357,0.11475409836065574,0.09549712904200665
0.01898928024502297,0.11290322580645161,0.09559786441019442
0.019295558958652374,0.12698412698412698,0.0960008058829455
0.019601837672281776,0.125,0.09620227661932106
0.019908116385911178,0.12307692307692308,0.0963030119875088
0.02021439509954058,0.12121212121212122,0.09710889493301099
0.020520673813169986,0.11940298507462686,0.09781404251032538
0.020826952526799388,0.11764705882352941,0.09781404251032538
0.02113323124042879,0.11594202898550725,0.09882139619220309
0.021439509954058193,0.11428571428571428,0.10023169134683187
0.021745788667687595,0.11267605633802817,0.10023169134683187
0.022052067381316997,0.1111111111111111,0.10033242671501964
0.022358346094946403,0.1095890410958904,0.10043316208320742
0.022664624808575805,0.10810810810810811,0.10103757429233402
0.022970903522205207,0.10666666666666667,0.10123904502870958
0.02327718223583461,0.10526315789473684,0.10164198650146065
0.02358346094946401,0.1038961038961039,0.10174272186964843
0.023889739663093414,0.10256410256410256,0.10204492797421173
0.02419601837672282,0.10126582278481013,0.10275007555152615
0.02450229709035222,0.1125,0.10285081091971392
0.024808575803981624,0.1111111111111111,0.1029515462879017
0.025114854517611026,0.10975609756097561,0.103253752392465
0.025421133231240428,0.10843373493975904,0.10375742923340385
0.02572741194486983,0.10714285714285714,0.10405963533796718
0.026033690658499236,0.11764705882352941,0.10416037070615493
0.026339969372128638,0.11627906976744186,0.10466404754709378
0.02664624808575804,0.11494252873563218,0.10486551828346931
0.026952526799387443,0.11363636363636363,0.10647728417447366
0.027258805513016845,0.11235955056179775,0.10657801954266144
0.027565084226646247,0.12222222222222222,0.10718243175178806
0.02787136294027565,0.12087912087912088,0.1073839024881636
0.028177641653905055,0.11956521739130435,0.10758537322453914
0.028483920367534457,0.12903225806451613,0.10788757932910244
0.02879019908116386,0.1276595744680851,0.1083912561700413
0.02909647779479326,0.12631578947368421,0.10859272690641682
0.029402756508422664,0.125,0.1101037574292334
0.029709035222052066,0.12371134020618557,0.11030522816560893
0.03001531393568147,0.12244897959183673,0.11111111111111112
0.030321592649310874,0.12121212121212122,0.11221920016117659
0.030627871362940276,0.12,0.1125214062657399
0.030934150076569678,0.1188118811881188,0.11262214163392766
0.03124042879019908,0.11764705882352941,0.11302508310667876
0.031546707503828486,0.11650485436893204,0.11383096605218092
0.031852986217457885,0.11538461538461539,0.11463684899768307
0.03215926493108729,0.11428571428571428,0.11503979047043417
0.03246554364471669,0.11320754716981132,0.11514052583862194
0.032771822358346095,0.11214953271028037,0.11524126120680972
0.0330781010719755,0.1111111111111111,0.11624861488868743
0.0333843797856049,0.11009174311926606,0.11675229172962627
0.033690658499234305,0.10909090909090909,0.11725596857056513
0.033996937212863704,0.10810810810810811,0.11755817467512845
0.03430321592649311,0.10714285714285714,0.1180618515160673
0.03460949464012251,0.10619469026548672,0.11826332225244285
0.034915773353751914,0.10526315789473684,0.11846479298881839
0.03522205206738132,0.10434782608695652,0.11896846982975723
0.03552833078101072,0.11206896551724138,0.11906920519794499
0.035834609494640124,0.1111111111111111,0.11927067593432054
0.03614088820826952,0.11016949152542373,0.11957288203888385
0.03644716692189893,0.1092436974789916,0.11977435277525939
0.036753445635528334,0.10833333333333334,0.11987508814344716
0.03705972434915773,0.10743801652892562,0.12088244182532487
0.03736600306278714,0.10655737704918032,0.12118464792988819
0.03767228177641654,0.10569105691056911,0.12158758940263927
0.03797856049004594,0.10483870967741936,0.1224942077163292
0.03828483920367534,0.104,0.12269567845270475
0.03859111791730475,0.10317460317460317,0.12309861992545583
0.03889739663093415,0.10236220472440945,0.12370303213458245
0.03920367534456355,0.1015625,0.12380376750277022
0.03950995405819296,0.10077519379844961,0.12440817971189684
0.039816232771822356,0.1076923076923077,0.1246096504482724
0.04012251148545176,0.10687022900763359,0.12571773949833787
0.04042879019908116,0.10606060606060606,0.12591921023471342
0.040735068912710566,0.10526315789473684,0.12622141633927672
0.04104134762633997,0.1044776119402985,0.12642288707565227
0.04134762633996937,0.1037037037037037,0.12652362244384002
0.041653905053598776,0.10294117647058823,0.12722877002115443
0.041960183767228175,0.10218978102189781,0.12722877002115443
0.04226646248085758,0.10144927536231885,0.12773244686209329
0.042572741194486986,0.1079136690647482,0.1279339175984688
0.042879019908116385,0.10714285714285714,0.1280346529666566
0.04318529862174579,0.10638297872340426,0.12863906517578322
0.04349157733537519,0.1056338028169014,0.12884053591215874
0.043797856049004595,0.1048951048951049,0.12914274201672207
0.044104134762633994,0.10416666666666667,0.12924347738490985
0.0444104134762634,0.10344827586206896,0.12924347738490985
0.044716692189892805,0.10273972602739725,0.12954568348947315
0.045022970903522204,0.10204081632653061,0.12984788959403645
0.04532924961715161,0.10135135135135136,0.13075450790772639
0.04563552833078101,0.10067114093959731,0.13095597864410194
0.045941807044410414,0.1,0.13186259695779187
0.04624808575803982,0.09933774834437085,0.13266847990329406
0.04655436447166922,0.09868421052631579,0.13337362748060844
0.046860643185298624,0.10457516339869281,0.1334743628487962
0.04716692189892802,0.1038961038961039,0.1334743628487962
0.04747320061255743,0.1032258064516129,0.133575098216984
0.04777947932618683,0.10256410256410256,0.13417951042611062
0.04808575803981623,0.10191082802547771,0.13498539337161278
0.04839203675344564,0.10126582278481013,0.1355898055807394
0.04869831546707504,0.1069182389937107,0.13710083610355597
0.04900459418070444,0.10625,0.13720157147174372
0.04931087289433384,0.10559006211180125,0.13720157147174372
0.04961715160796325,0.10493827160493827,0.13810818978543368
0.049923430321592646,0.10429447852760736,0.13820892515362143
0.05022970903522205,0.10365853658536585,0.139719955676438
0.05053598774885146,0.10303030303030303,0.13982069104462577
0.050842266462480856,0.10843373493975904,0.13982069104462577
0.05114854517611026,0.10778443113772455,0.14032436788556463
0.05145482388973966,0.10714285714285714,0.14052583862194015
0.051761102603369066,0.10650887573964497,0.1418353984083812
0.05206738131699847,0.10588235294117647,0.1421376045129445
0.05237366003062787,0.10526315789473684,0.14284275209025887
0.052679938744257276,0.10465116279069768,0.14294348745844665
0.052986217457886675,0.10404624277456648,0.14294348745844668
0.05329249617151608,0.10344827586206896,0.1431449581948222
0.05359877488514548,0.10285714285714286,0.14405157650851216
0.053905053598774885,0.10227272727272728,0.14515966555857762
0.05421133231240429,0.1016949152542373,0.14546187166314092
0.05451761102603369,0.10112359550561797,0.14566334239951648
0.054823889739663095,0.1005586592178771,0.14576407776770425
0.055130168453292494,0.1,0.14616701924045533
0.0554364471669219,0.09944751381215469,0.14646922534501863
0.0557427258805513,0.0989010989010989,0.14677143144958193
0.056049004594180704,0.09836065573770492,0.14687216681776974
0.05635528330781011,0.09782608695652174,0.14717437292233304
0.05666156202143951,0.10270270270270271,0.1479802558678352
