normal_score,corrupted_score
418.1807684099363,1966.2166804082653
526.547821211198,2166.2892163475913
441.985901912345,2196.1104875826777
405.3462240242531,1891.0123700505324
564.4973722461095,1927.018231482749
584.9147177977097,1876.1328477236912
670.3462180113174,1945.7789994969883
585.2831058543511,2486.5346598071214
556.1153526223064,3041.8488138293155
506.3825311838823,4442.51830988853
598.7213450030425,2709.0817509168733
472.9973188905096,3502.2974316335976
515.399851528803,2349.0765790917444
472.8492550988755,2080.2887906741917
507.29385446091743,2063.283245491937
555.1628680309359,2532.9436515205775
534.0806569460818,2559.810873058088
493.2931445688738,2154.836634670264
691.9834869321986,2874.9787072040517
496.06095694738633,2534.548789877912
391.69260313965464,2263.346474752356
642.7711476942362,2777.1250608311184
816.2739855325298,2292.10118866059
482.0193488892072,2257.1783581997197
457.3680720064662,2810.8312170588124
446.5091901920997,2331.9083545645526
507.56775728618067,2755.3567340190634
434.20323009883657,2012.3896138404923
424.6465267168904,1864.8879238118016
425.5350281596665,2087.0603772868
388.4931999128699,1933.982218389038
413.1916108190621,2154.8750738424515
440.31454567132715,2578.1760662437337
517.791726049461,2454.088697403803
575.7288580290001,2618.6105857306507
516.9902013353678,2774.827930310947
476.0966618625489,2146.938002397585
447.98929419879767,1770.1936089384417
473.11553541515747,4141.502950269105
1028.967290002697,2571.989254758879
1037.5303710343778,2390.4888574674333
1132.1997578930884,2688.102839659476
1105.8296667522552,3257.9929206112533
1153.261813636072,2899.5404519360723
1010.5434582039096,2576.8381517973357
1355.5127407177404,3067.9700701928373
777.1856034890144,2237.5641369067403
443.938214029173,3074.642096337297
747.2235214668708,2655.8361111757404
1156.8889053334212,2761.6881307040658
720.9356041747949,3796.19491472519
922.138991001528,4183.553996779094
795.3209956498162,4111.991001652683
862.540932965641,3667.7083914242785
806.757463825453,3546.973691375602
744.1990685977205,4406.803496865916
731.4538021369342,3695.5775586602413
733.2371400109278,3460.968737741128
943.2260304365047,3623.1145497282223
645.2504765029054,3628.5260497836985
643.3097095792959,3294.824168369546
770.4146584594627,3384.521701387088
667.9854775900144,3433.7657641724854
798.6848987712311,3109.2150823285683
639.9732595303152,3478.4312353739438
633.2793999928971,3497.559841423117
631.2816879300923,3031.7961952089345
605.2972140477987,2968.301441051046
694.0952522348155,3529.001394575647
706.9944803460827,3578.5881385733564
613.8025812974469,3363.2062889704935
823.1273605522022,3700.069542977419
703.3900131937756,2894.787682504875
688.0388983698803,3722.556578818141
449.78603169881086,1836.5874797099486
617.3004432265316,2143.4329878353624
841.9465632905482,2809.7521461846904
522.0157155481703,2392.6896849999544
617.1586663124817,3033.0705213182773
631.6971944375671,3210.915036552668
554.2751412637771,2437.2336632200922
470.43605494926226,2297.865497314243
427.915123879684,2246.846574845182
782.2787603504955,3725.9819126710413
446.3290985539834,2178.2067154518686
442.5158627087283,2268.509948564458
439.0414788145229,2243.7503446406777
535.6390206815655,2720.2839778112934
512.5421478113273,2324.411461830581
523.2508363714842,2116.75681220568
549.1876010101489,3024.641287116481
642.4641247216825,2896.5600843845077
614.9572411186189,4172.90699634266
538.8251650657925,3856.460884824717
530.2102943319037,4208.334866005607
642.1984705607056,3885.5005379874924
641.1772888012533,3653.1183865994744
607.5927339191092,4142.186750589342
682.0963766979834,4136.980357257475
537.1936193272174,3734.3673945658834
590.9672640632946,3139.340992298565
534.6420133517382,3955.291457631463
669.0575023248978,3914.988789977686
531.604694900048,3444.3230848930193
564.3905035012382,3736.991322122765
625.9172048727761,4668.052950984162
658.3340508256334,4704.870367548274
645.8473482343217,4086.4247368661495
575.8763616434148,4116.370624018847
617.5893924312484,4070.5344711627367
566.0715941403241,3215.5632579740527
571.1326199293937,4335.431065778913
630.0726284897636,3548.9903948794804
549.1556795993671,3656.713508866
615.7788353574323,4293.6028859765265
532.7431969503939,3340.4044824532025
799.4769644627514,5168.870220582649
595.2211687156741,5252.842440302022
668.3863615547905,4637.9654393271385
564.9581987613066,3586.0358880221597
643.0619224056562,3873.740853400607
491.1437794508821,4323.604804586439
484.94877914140216,4008.802209567954
557.0768386469671,3575.626211591043
625.7610955410383,4053.72938006962
584.5491705518399,4080.432714083255
686.8618296089886,3798.1372880521653
474.8393622345597,3687.160647515389
520.1274010917629,4341.119190963012
532.2930061725166,3624.8136651216696
600.3732233717847,3418.725884134009
563.1297925047847,3191.498549322576
729.2775594868156,2234.707444006653
571.8800651161587,3696.9911727870954
695.6122399470305,2230.9431825316824
579.9102266957499,2254.9318981216666
604.0415192604146,3831.142408056057
511.66324431877695,3668.7341299894583
565.2814498757788,3346.106479553006
752.4181544963932,2862.349102793107
708.9849354304996,3898.5880908637237
626.540642720689,3472.3194069460496
459.6131427130951,2319.6408615959476
424.92613888706734,2062.725463768331
501.64535245246003,3798.675265870803
502.72718235080094,3586.1710758733584
791.6115299267863,1968.4068421633744
631.0885195133219,2065.25879919517
639.584339513608,2339.222640650142
669.6851251640869,1850.388018016008
669.5743460240806,1978.4528628374171
417.9982848779202,2515.676528636694
543.1309427334758,2886.0371766707553
477.97889097529577,2444.503892558668
560.5561112062229,2452.4147828074206
501.49642213163526,2817.758173516959
479.7873624784181,2965.099030515686
522.8664735902041,2236.8817191850358
401.0363012582992,2880.8531588844303
503.3585496251047,2223.57348739229
389.1528249143349,2381.083742082877
1067.840182587403,2527.963613158576
1133.7157996443093,2975.319313202159
1423.8928293154154,2913.4183588961287
794.5589686188573,2528.948600437516
718.4141633251265,2471.1581927099987
519.7834224530079,2416.123902958732
357.43016462859424,1817.8889742507486
379.37795588479804,2014.1333078590878
399.18111242308277,3167.511867585974
324.1817353877186,1804.185944387553
428.4500583791693,3324.5427570522347
490.40143775461706,3196.913615153992
660.9338211923507,3538.297433486995
574.8604818275272,3922.2820599436277
563.812463850262,3222.350921987387
375.5965433163161,2001.8035704198137
396.91135354073003,2541.584066404755
439.7264425238386,2819.163298264931
412.7807094986666,1919.736162721131
581.7936146261607,2388.716281098334
582.1770451014329,2573.039412391627
479.7790930759636,2986.5980770935957
459.36951426959087,2003.937529765723
542.9918663239356,2149.9129292325115
